휴양림명,시도명,휴양림구분,휴양림면적,수용인원수,입장료,숙박가능여부,주요시설명,소재지도로명주소,관리기관명,휴양림전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
토함산자연휴양림,경상북도,공유림,1211344,330,X,Y,숲속의집+화랑관(어린이물놀이장)+야영장+국학관(세미나실) 등,경상북도 경주시 문무대왕면 불국로 1208-45,경상북도 경주시청,054-750-8700,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030027,35.76176465,129.3649053,2023-11-28,5050000,경상북도 경주시
성주산자연휴양림,충청남도,공유림,456,2000,성인1000원+청소년800원+군인800원+어린이400원,Y,성주산자연휴양림,충청남도 보령시 성주면 화장골길 57-228,충청남도 보령시 산림공원과,041-934-7133,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030078,36.33256882,126.6639659,2023-11-30,4510000,충청남도 보령시
박달재자연휴양림,충청북도,공유림,1700000,2000,무,Y,숲속의집+산책로,충청북도 제천시 백운면 금봉로 228,충청북도 제천시청,043-652-0910,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030062,37.14706386,128.0457749,2023-11-30,4400000,충청북도 제천시
옥전자연휴양림,충청북도,공유림,1090000,1000,무,Y,숲속의집,충청북도 제천시 봉양읍 옥전길 195,충청북도 제천시청,043-641-6893,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030110,37.17540371,128.0899438,2023-11-30,4400000,충청북도 제천시
용문산자연휴양림,경기도,공유림,870852,300,무료,Y,행복마루+솔마루+하늘마루+산림휴양관+숲속의집+생태행복관+야영데크 등,경기도 양평군 양평읍 약수사길 78-14,경기도 양평군청,031-775-4005,http://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030087,37.516048,127.519421,2023-11-30,4170000,경기도 양평군
양평쉬자파크,경기도,공유림,330834,538,하절기 일반 2000원+동절기 1000원+군민 무료 등 면제 조건 별도,Y,치유의 숲+치유의 집+초가원+산림교육센터+치유센터+공원관리소+유아숲체험원+카페 등,경기도 양평군 양평읍 쉬자파크길 193,경기도 양평군청,031-770-1009,https://www.yp21.go.kr/swijapark/index.do,37.511222,127.533196,2023-11-30,4170000,경기도 양평군
설매재자연휴양림,경기도,사유림,349568,288,유료: 성인 3000원+청소년·군인 2000원+양평군민 1500원+어르신·어린이 1500원,Y,숲속의집+산림휴양관+이벤트홀+데크야영 등,경기도 양평군 옥천면 용천로 510,개인(현철호),031-772-5955,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID04030004,37.556802,127.509356,2023-11-30,4170000,경기도 양평군
만수산자연휴양림,충청남도,공유림,1300000,150,일반1200+청소년900+군인900+어린이600,Y,숲속의집,충청남도 부여군 외산면 휴양로 107,부여군시설관리공단,041-832-6561,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030007,36.33854208,126.7119325,2023-11-27,4570000,충청남도 부여군
용인자연휴양림,경기도,공유림,1801693,1800,개인성인2000원+개인청소년/군인/국가보훈대상자/다자녀가정1000원+개인어린이500원+단체성인1600원+단체청소년/군인/국가보훈대상자/다자녀가정800원+단체어린이400원,Y,숲속의집+숲속체험관+목조주택+생태습지+야영장+잔디광장+짚라인+목재문화체험관 등,경기도 용인시 처인구 모현면 초부로 220,경기도 용인시청,031-336-0040,https://yonginforest.foresttrip.go.kr/,37.314713,127.265315,2023-11-28,4050000,경기도 용인시
옥화자연휴양림,충청북도,공유림,862790,373,어른(개인 1000원+단체 500원)+청소년(개인 500원+단체 300원)+어린이(개인 300원+단체 200원)+군인(개인 500원+단체 300원)+지역주민(개인 500원+단체 300원),Y,숲속의집+산림휴양관+국민여가오토캠핑장+물놀이장 등,충청북도 청주시 상당구 미원면 운암옥화길 140,청주시 푸른도시사업본부,043-270-7384,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030054,36.59895012,127.6943716,2023-11-24,5710000,충청북도 청주시
유명산자연휴양림,경기도,국유림,79338,722,어른1000원+단체800원+다자녀면제,Y,향료식물원+암석원+자연학습원+우리꽃 길+습지식물원+잔디광장,경기도 가평군 설악면 유명산길 79-53,산림청,031-589-5487,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0101,37.592936,127.491063,2023-11-22,4160000,경기도 가평군
칼봉산자연휴양림,경기도,국유림,2640000,160,무료,Y,숲속의집+산림휴양관+생태숲+생태체험학습장+야영장,경기도 가평군 가평읍 경반안로 454,경기도 가평군 시설관리공단,031-8078-8062,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030099,37.836519,127.465159,2023-11-22,4160000,경기도 가평군
청평자연휴양림,경기도,사유림,661157,70,일반5000원+어린이4000원+경로4000원+장애인4000원+가평군민4000원,Y,산림휴양관+야외광장+피크닉장+수영장+소강당,경기도 가평군 청평면 북한강로2246번길 8-6,경기도 가평군,031-584-0528,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID04030007,37.711801,127.407240,2023-11-22,4160000,경기도 가평군
운문산자연휴양림,경상북도,국유림,170000,1000,무료,Y,숲속의집+산림문화휴양관+숲속수련장+야영시설,경상북도 청도군 운문면 운문로 763,국립자연휴양림관리소,054-373-1327,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0195,35.64834675,129.026208,2023-11-17,5190000,경상북도 청도군
청도자연휴양림,경상북도,공유림,24421,324,무료,Y,숲속의집+산림문화휴양관+야영시설,경상북도 청도군 각북면 비슬산길 111-25,경상북도 청도군청,054-371-9200,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030116,35.7093183,128.5497232,2023-11-17,5190000,경상북도 청도군
회문산자연휴양림,전라북도,국유림,2890000,300,어른 1000원 청소년 600원 어린이 300원,Y,숲속의 집+산림문화 휴양관+야영시설,전라북도 순창군 구림면 안심길 295,국립자연휴양림관리소,063-653-4779,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0188,35.50195867,127.1148251,2022-06-15,4771000,전북특별자치도 순창군
용궐산자연휴양림,전라북도,공유림,1630000,100,무료,N,산림휴양관+하늘길+야영장,전라북도 순창군 동계면 장군목길 538-19,순창군청,063-653-4779,,35.46166861,127.2048302,2022-06-15,4771000,전북특별자치도 순창군
동강전망자연휴양림,강원특별자치도,공유림,448000,268,무료,N,오토캠핑장,강원특별자치도 정선군 신동읍 동강로 916-212,정선군시설관리공단,070-4225-2336,https://www.jsimc.or.kr,37.25962318,128.6079002,2024-03-12,4291000,강원특별자치도 정선군
오도산 자연휴양림,경상남도,공유림,2700000,1000,1000,Y,숲속의집+청소년수련관+야영데크+취사장+관리사무소+사방댐 등,경상남도 합천군 봉산면 오도산휴양로 345,경상남도 합천군청,055-930-3742,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030068,35.66904355,128.0538747,2024-03-25,5480000,경상남도 합천군
주작산자연휴양림,전라남도,공유림,1690000,138,0,Y,휴양관+숲속의집+세미나실 등,전라남도 강진군 신전면 주작산길 262,전라남도 강진군,061-430-3306,https://foresttrip.go.kr/indvz/main.do?hmpgId=ID02030060,34.5172932,126.6989685,2023-07-21,4920000,전라남도 강진군
충북알프스자연휴양림,충청북도,공유림,902000,287,무료,Y,숲속의집+세미나실+목공예체험장 등,충청북도 보은군 산외면 속리산로 1880,속리산휴양사업소,043-540-3712,https://alpshuyang.foresttrip.go.kr/,36.57316547,127.7858442,2023-07-19,4420000,충청북도 보은군
속리산 숲체험휴양마을,충청북도,공유림,1100000,350,무료,Y,한옥마을+황토마을+통나무마을 등,충청북도 보은군 속리산면 속리산로 596,속리산휴양사업소,043-540-3220,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030035,36.49245442,127.792472,2023-07-19,4420000,충청북도 보은군
장령산자연휴양림,충청북도,공유림,2000000,2500,없음,Y,숲속의집+산림문화휴양관+야영장+야외물놀이장 등,충청북도 옥천군 군서면 장령산로 519,충청북도 옥천군청,043-730-3491,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030036,36.24486737,127.5547497,2023-06-27,4430000,충청북도 옥천군
국립용지봉자연휴양림,경상남도,국유림,580000,,무료,Y,숲속의집+안내센터,경상남도 김해시 대청계곡길 170-36,산림청,,,35.18905366,128.7741351,2023-07-06,5350000,경상남도 김해시
불정자연휴양림,경상북도,공유림,275,200,어른 1000원+청소년ㆍ군인 800원 +어린이 500원,Y,숲속의집+카라반+야영장+물놀이장+야영데크,경상북도 문경시 불정길 180,문경관광진흥공단,054-553-9443,http://www.mgtpcr.or.kr,36.62128207,128.1365074,2023-07-13,5120000,경상북도 문경시
대야산자연휴양림,경상북도,국유림,820,500,어른 1000원+청소년 600원+어린이 300원,Y,산림문화휴양관+연립동+야영시설,경상북도 문경시 가은읍 용추길 31-35,국립자연휴양림관리소,054-571-7181,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0245,36.67090364,127.9619774,2023-07-13,5120000,경상북도 문경시
소선암자연휴양림,충청북도,공유림,633137,500,무료,Y,통나무집+숲속의집+산림문화휴양관+산림복합휴양관+백두대간 문화휴양관,충청북도 단양군 단성면 대잠2길15,충청북도 단양군청,043-422-7839,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030009,36.91922142,128.3123127,2023-07-11,4480000,충청북도 단양군
소백산자연휴양림,충청북도,공유림,1899046,500,"성인3000원+청소년,군인2000원+어린이1000원+단체(20인이상)어른1500원+단체(20인이상)청소년,군인1000원+단체(20인이상)어린이500원",Y,숲속의집+산림문화휴양관+정감록명당체험마을+화전민촌,충청북도 단양군 영춘면 하리방터길 180,충청북도 단양군청,043-423-3117,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030009,37.06069296,128.4673084,2023-07-11,4480000,충청북도 단양군
군위장곡자연휴양림,대구광역시,공유림,2618706,300,일반어른1000원+일반청소년700원+일반군인700원+일반어린이500원+단체어른700원+단체청소년500원+단체군인500원+단체어린이500원,Y,숲속의 집+종합산막+산림문화휴양관+산림생태체험학습관+자생식물원+물놀이장,대구광역시 군위군 삼국유사면 장곡휴양림길 195,대구광역시 군위군청,054-380-6317,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030064,36.129815,128.835924,2023-07-13,5141000,대구광역시 군위군
독용산성 자연휴양림,경상북도,공유림,1467000,96,입장료 무료,Y,숲속휴양관+휴양관+숲속의집+관리사무소+야외화장실 등,경상북도 성주군 금수면 사더래길 144,경상북도 성주군청 산림과,054-930-8401,www.dokyonf.foresttrip.go.kr,35.90636795,128.1344115,2023-07-06,5210000,경상북도 성주군
가리산자연휴양림,강원특별자치도,공유림,3050000,234,개인2000원+청소년1500원+어린이1000원+군인면제,Y,산림문화휴양관+숲속의집+야영데크,강원특별자치도 홍천군 두촌면 가리산길 426,강원특별자치도 홍천군청,033-435-6034,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030002,37.8656358,127.9811498,2023-10-05,4251000,강원특별자치도 홍천군
문성자연휴양림,충청북도,공유림,560000,145,무료,Y,숲속의집+단체숙소,충청북도 충주시 노은면 우성1길 191,충주시시설관리공단,043-870-7910,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030055,37.02832486,127.7525206,2023-09-30,4390000,충청북도 충주시
봉황자연휴양림,충청북도,공유림,1740000,200,무료,Y,숲속의집+단체숙소,충청북도 충주시 중앙탑면 수룡봉황길540,충주시시설관리공단,043-870-7920,https://www.cjfmc.or.kr/bhf/index.do,37.05652102,127.8297473,2023-09-30,4390000,충청북도 충주시
계명산자연휴양림,충청북도,공유림,3630000,149,무료,Y,숲속의집+단체숙소,충청북도 충주시 충주호수로 1170,충주시시설관리공단,043-840-7930,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030042,36.9793629,127.9950872,2023-09-30,4390000,충청북도 충주시
옥성자연휴양림,경상북도,공유림,1531821,1900,무료,Y,"숲속의집, 야영데크장, 등산로, 산책로, 교육시설, 위생시설",경상북도 구미시 옥성면 휴양림길 150,구미시설공단,054-480-2080,www.foresttrip.go.kr/,36.27907203,128.2844292,2023-10-06,5080000,경상북도 구미시
대운산자연휴양림,경상남도,공유림,2137479,200,무료,Y,"숲속의집, 산림휴양관, 야영데크 등",경상남도 양산시 탑골길 270,양산시시설관리공단,055-379-8670,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030038,35.4178546195,129.2088997535,2023-10-04,5380000,경상남도 양산시
강릉임해자연휴양림,강원특별자치도,공유림,1160000,105,비수기 평일[(6인실)70000원+(5인실)65000원+(4인실)50000원]+비수기 주말[(6인실)120000원+(5인실)110000원+(4인실)90000원]+성수기[(6인실)140000원+(5인실)130000원+(4인실)100000원],Y,숙박동(하늘동+구름동+바다동+숲속동)+숲속의집,강원도 강릉시 강동면 율곡로 1715-85,강릉관광개발공사,033-644-9483,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030100,37.71856556,128.9985453,2023-09-15,4201000,강원특별자치도 강릉시
하추자연휴양림,강원도,공유림,880000,138,"객실(비수기 50000원, 성수기 70000원) / 데크(비수기 20000원, 성수기 30000원) / 입장료 : 무료",Y,숲속의집+야영장+휴양관,강원도 인제군 인제읍 하추로686,강원도 인제군 산림자원과,033-461-0056,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030018,38.03469483,128.3193078,2023-05-18,4330000,강원도 인제군
가리산자연휴양림,강원도,공유림,3050000,234,개인2000원+청소년1500원+어린이1000원+군인면제,Y,산림문화휴양관+숲속의집+야영데크,강원도 홍천군 두촌면 가리산길 426,강원도 홍천군청,033-435-6034,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030002,37.8656358003,127.9811498126,2023-05-15,4250000,강원도 홍천군
화왕산자연휴양림(창녕),경상남도,공유림,673300,146,무료,Y,숲속의집+휴양관,경상남도 창녕군 고암면 청간길 128-126,경상남도 창녕군청,055-533-2332,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030015,35.54693079,128.5673145,2023-07-06,6480000,경상남도
구재봉자연휴양림(하동),경상남도,공유림,433135,500,개인 어른1000원+개인 청소년 600원+개인 어린이 300원+단체 어른800원+단체 청소년 500원+단체 어린이 200원+동절기(12월~2월)입장료면제,Y,숲속의집+휴양관,경상남도 하동군 적량면 중서길 60-81,경상남도 하동군청,070-8855-8011,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030072,35.12895794,127.7440937,2023-07-06,6480000,경상남도
하동편백자연휴양림,경상남도,공유림,307950,600,"개인 어른1000원+개인 청소년 600원+개인 어린이 300원+단체 어른800원+단체 청소년 500원+단체 어린이 200원+경로,장애인국가유공제 무료(신분증제시자)",Y,숲속의집+휴양관,경상남도 하동군 옥종면 돌고지로 1088-51,경상남도 하동군청,070-8994-0717,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030103,35.18703884,127.8398597,2023-07-06,6480000,경상남도
한방자연휴양림(산청),경상남도,공유림,1376062,272,무료,Y,숲속의집+휴양관,경상남도 산청군 금서면 동의보감로 555번길 186,경상남도 산청군청,055-970-6951,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030037,35.43403584,127.8236808,2023-07-06,6480000,경상남도
용추자연휴양림(함양),경상남도,공유림,1590000,390,무료,Y,숲속의집+휴양관,경상남도 함양군 안의면 용추휴양림길 166,경상남도 함양군청,055-963-8702,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030047,35.69613134,127.7578619,2023-07-06,6480000,경상남도
대봉산자연휴양림(함양),경상남도,공유림,959054,150,무료,Y,숲속의집+휴양관,경상남도 함양군 병곡면 병곡지곡로 333,경상남도 함양군청,055-964-1090,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030046,35.57794015,127.7150289,2023-07-06,6480000,경상남도
산삼자연휴양림(함양),경상남도,공유림,670000,200,무료,Y,숲속의집+휴양관,경상남도 함양군 서상면 가르내길 202-1,경상남도 함양군청,055-964-9886,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030048,35.69762459,127.6584297,2023-07-06,6480000,경상남도
금원산자연휴양림(거창),경상남도,공유림,1300000,685,개인 어른1000원+개인 군인청소년 600원+개인 어린이 300원+단체 어른800원+단체 군인청소년 500원+단체 어린이 200원+가족 어른500원+가족 군인청소년 300원+가족 어린이 150원,Y,숲속의집+휴양관,경상남도 거창군 위천면 금원산길 471-27,경상남도청,055-254-3971,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030077,35.72617571,127.795727,2023-07-06,6480000,경상남도
항노화자연휴양림(항노화힐링랜드),경상남도,공유림,479276,100,일반 3000원(만 7세 이상 만 65세 미만),Y,숲속의집+휴양관,경상남도 거창군 가조면 의상봉길 834,경상남도 거창군청,055-940-7933,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030109,35.73662049,128.0408983,2023-07-06,6480000,경상남도
오도산자연휴양림(합천),경상남도,공유림,2700000,780,개인 어른1000원+개인 군인청소년 700원+개인 어린이 300원+단체 어른700원+단체 군인청소년 500원+단체 어린이 200원,Y,숲속의집+휴양관,경상남도 합천군 봉산면 오도산휴양로 398,경상남도 합천군청,055-930-3733,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030068,35.66904518,128.0538745,2023-07-06,6480000,경상남도
산삼휴양밸리(대봉캠핑랜드),경상남도,공유림,1458868,400,무료,Y,숲속의집+휴양관,경상남도 함양군 병곡면 원산지소길 192,경상남도 함양군청,055-963-2026,https://www.hygn.go.kr/daebongvalley.web,35.58818277,127.6790131,2023-07-06,6480000,경상남도
용지봉자연휴양림(김해),경상남도,국유림,584112,80,무료,Y,숲속의집+휴양관,경상남도 김해시 대청계곡길 170-36,산림청,055-326-0133,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0302,35.18540272,128.7754769,2023-07-06,6480000,경상남도
아세안자연휴양림,경기도,공유림,583880,500,일반(개인 1000원+단체 800원)+청소년(개인 600원+단체 500원)+어린이(개인 300원+단체200원),Y,숲속의집14동+안내센터+다목적광장 등,경기도 양주시 백석읍 기산로 472,산림청,031-871-2796,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0104,37.77382293,126.9421758,2023-11-30,5590000,경기도 양주시
장흥 자연휴양림,경기도,사유림,499000,300,무료,N,물놀이장+썰매장,경기도 양주시 장흥면 권율로 594,민간(㈜해성농림),070-7789-0414,http://www.fes-artvalley.com/,37.75816692,126.9685293,2023-11-30,5590000,경기도 양주시
서귀포자연휴양림,제주특별자치도,국유림,2550000,1500,어른 1000원+청소년 600원+어린이 300원+(단체)어른 800원+(단체)청소년 500원+(단체)어린이 200원,Y,숲속의집+산림휴양관+세미나실+야영장+생태탐방코스,제주특별자치도 서귀포시 1100로 882,제주특별자치도 서귀포시청,064-738-4544,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030013,33.3115002,126.458761,2023-12-04,6520000,제주특별자치도 서귀포시
붉은오름자연휴양림,제주특별자치도,공유림,1900000,1500,어른 1000원+청소년·군인 600원+(단체)어른 800원+(단체)청소년·군인 500원,Y,숲속의집+산림문화휴양관+세미나실+오름등반로+야외공연장,제주특별자치도 서귀포시 표선면 남조로 1487-73,제주특별자치도 서귀포시청,064-760-3481,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030014,33.401429,126.675671,2023-12-04,6520000,제주특별자치도 서귀포시
서귀포 치유의 숲,제주특별자치도,공유림,1740000,600,어른 1000원+청소년 600원+(단체)어른 800원+(단체)청소년 500원,N,치유숲길,제주특별자치도 서귀포시 산록남로 2271,제주특별자치도 서귀포시청,064-760-3067,https://seogwipo.go.kr/healing/index.htm,33.291941,126.527902,2023-12-04,6520000,제주특별자치도 서귀포시
안면도자연휴양림,충청남도,국유림,1350000,6000,일반 1000원+청소년 800원+군인 800원+어린이 400원,Y,전시관+수목원+숲속의집 등,충청남도 태안군 안면읍 안면대로3195-6,충청남도 산림환경연구소 휴양림관리사무소,041-674-5019,www.anmyonhuyang.go.kr,36.49670127,126.3588291,2024-01-02,4620000,충청남도 태안군
고대산자연휴양림,경기도,국유림,314000,189,어른 : 개인1000원/단체 800원+청소년·군인 : 개인 800원/단체 600원+어린이 : 개인 500원/단체 300원,Y,숲속의집 14동14실+산림휴양관 1동2층6실+숲속수련원 1동1실+방문자센터 1동2층 야영장데크 20개소,경기도 연천군 신서면 고대산길 84-79,경기도 연천군청,031-834-2200,https://godaesan.foresttrip.go.kr,38.21125391,127.1507058,2023-12-22,4140000,경기도 연천군
국립희리산해송자연휴양림,충청남도,국유림,1430000,500,개인(어른1000원+청소년600원+어린이300원)+단체(어른800원+청소년500원+어린이200원),Y,숲속의집+야영장+숲속수련장,충청남도 서천군 종천면 희리산길 206,국립자연휴양림관리소,041-953-2230,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0187,36.11262716,126.664181,2023-12-26,4580000,충청남도 서천군
생거진천자연휴양림,충청북도,공유림,2210000,184,무료,Y,산림문화휴양관+숲속의집12동+연립동+야영센터+관리사무소+유아숲체험원,충청북도 진천군 백곡면 명암길 435-135,충청북도 진천군청 산림축산과,043-539-3554,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030033,36.923988,127.3902017,2023-12-21,4450000,충청북도 진천군
하추자연휴양림,강원도,공유림,880000,138,"객실(비수기 50000원, 성수기 70000원) / 데크(비수기 20000원, 성수기 30000원) / 입장료 : 무료",Y,숲속의집+야영장+휴양관,강원도 인제군 인제읍 하추로686,강원도 인제군 산림자원과,033-461-0056,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030018,38.03469483,128.3193078,2023-05-18,4331000,강원특별자치도 인제군
치악산자연휴양림,강원도,공유림,1700000,120,일반(개인 2000+청소년 및 군인 1500+어린이 1000)+단체(어른 1500+청소년 및 군인 1000+어린이 700),Y,숲속의집+주차장+산책로,강원도 원주시 판부면 휴양림길 66,강원도 원주시청 산림과,033-762-8288,https://foresttrip.go.kr/indvz/main.do?hmpgId=ID02030024,37.255878,128.031372,2023-02-06,4191000,강원특별자치도 원주시
학가산우래자연휴양림,경상북도,사유림,1328133,220,성인3000+성인단체(20인이상)2000+청소년·어린이2000+청소년단체(20인이상)1000,Y,숲속의 집+산림휴양관,경상북도 예천군 보문면 휴양림길 210,(주)학가산자연휴양림개발,054-652-0114,http://www.hakasan.co.kr/,36.677929,128.592876,2023-09-08,5230000,경상북도 예천군
만인산자연휴양림,대전광역시,공유림,1850000,5000,무료,Y,"숲속교실,야외무대,목공체험장",대전광역시 동구 산내로 106,대전광역시 공원관리사업소,042-270-8655,http://www.daejeon.go.kr/par/index.do,36.2021806,127.4551104,2021-10-27,6300000,대전광역시
장태산자연휴양림,대전광역시,공유림,820000,6000,무료,Y,"생태연못,교과서식물원,산림문화휴양관",대전광역시 서구 장안로 461,대전광역시 공원관리사업소,042-270-7883,http://www.jangtaesan.or.kr/,36.21596742,127.3412777,2021-10-27,6300000,대전광역시
팔영산자연휴양림,전라남도,공유림,1870000,250,없음,Y,"숲속의집 12동, 산림문화휴양관 1동",전라남도 고흥군 영남면 팔영로 1347-418,고흥군청,061-830-5386,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030069,34.62133127,127.4401371,2021-10-22,4880000,전라남도 고흥군
두루웰자연휴양림,강원도,공유림,1864000,100,"개인(일반1000, 청소년600, 어린이300)단체(일반 700, 청소년400, 어린이200)",Y,"숲속의집, 트리하우스, 캠핑장",강원도 철원군 갈말읍 지경1길 69,강원도 철원군청 녹색성장과,033-450-5198,www.foresttrip.go.kr,38.227936,127.353297,2021-10-21,4300000,강원도 철원군
군위장곡자연휴양림,대구광역시,공유림,2618706,300,일반어른1000원+일반청소년700원+일반군인700원+일반어린이500원+단체어른700원+단체청소년500원+단체군인500원+단체어린이500원,Y,숲속의 집+종합산막+산림문화휴양관+산림생태체험학습관+자생식물원+물놀이장,대구광역시 군위군 삼국유사면 장곡휴양림길 195,대구광역시 군위군청,054-380-6317,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030064,36.129815,128.835924,2023-07-13,5140000,경상북도 군위군
양을산산림욕장,전라남도,공유림,150000,,무료,N,유아숲체험원+화장실+생태학습장+실내교육장,전라남도 목포시 양을로 397번길,전라남도 목포시청,061-270-8178,,34.8213604,126.4075568,2023-06-30,4800000,전라남도 목포시
밀양도래재자연휴양림,경상남도,공유림,524988,200,일반1000원+단체800원+청소년800원+단체600원+어린이500원+단체400원,Y,산림휴양관+숲속의집+야영데크+목공예센터+카페테리아+요가체험센터,경상남도 밀양시 단장면 도래재로 462,경상남도 밀양시,055-355-0200,,35.55632931,128.9390583,2023-07-12,5360000,경상남도 밀양시
수레의산자연휴양림,충청북도,공유림,890000,91,무료+숙박시설별도,Y,숙박시설+캠핑장+산책로+화장실 등,충청북도 음성군 생극면 차생로 310-108,충청북도 음성군,043-878-2013,www.eumseong.go.kr/forest,37.03888889,127.6513842,2023-07-12,4470000,충청북도 음성군
백야자연휴양림,충청북도,공유림,370000,210,무료+숙박시설별도,Y,숙박시설+캠핑장+물놀이장+산책로+화장실 등,충청북도 음성군 금왕읍 백야로 461-97,충청북도 음성군,043-878-2556,www.eumseong.go.kr/forest,36.95683951,127.6096488,2023-07-12,4470000,충청북도 음성군
절물자연휴양림,제주특별자치도,국유림,300,2000,일반1000원+청소년600원+어린이300원+단체일반800원+단체청소년500원+단체어린이200원,Y,휴양림+수련장+숙박등,제주특별자치도 제주시 명림로 584,제주특별자치도 제주시청,064-728-1510,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030053,33.44004881,126.6252034,2023-07-06,6510000,제주특별자치도 제주시
춘천숲자연휴양림,강원도,공유림,808043,400,일반2000원+단체1500원,Y,숲속의집+산림휴양관+글램핑장,강원도 춘천시 동산면 종자리로 224-104,강원도 춘천시청,033-264-1156,www.ccforest.or.kr,37.747732,127.742503,2022-08-17,4180000,강원도 춘천시
송정자연휴양림,경상북도,공유림,636297,350,개인(성인 1000원+청소년·군인 700원+어린이 500원)+단체(성인 800원+청소년·군인 500원+어린이 300원),Y,숲속의집+휴양관+야영장+피크닉장 등,경상북도 칠곡군 석적읍 반계3길 88,경상북도 칠곡군청,054-979-6600,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030076,36.02333423,128.4416412,2022-12-05,5220000,경상북도 칠곡군
성주봉자연휴양림,경상북도,공유림,2000000,229,숲속의집80000원+휴양관70000원+수련관100000원,Y,숲속의집+산림휴양관+산림수련관+야영장,경상북도 상주시 은척면 성주봉로 3,경상북도 상주시청,054-541-6512,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030039,36.53359844,128.0407595,2022-12-05,5110000,경상북도 상주시
흑석산자연휴양림,전라남도,공유림,500000,700,1000,Y,숲속의집(객식)+유아숲체험원+족욕장+수변쉼터 등,전라남도 해남군 계곡면 산골길 306,전라남도 해남군청 산림공원과,061-530-5738,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030045,34.67093468,126.6169967,2023-07-01,4930000,전라남도 해남군
백아산자연휴양림,전라남도,공유림,1000000,800,어른1000원+청소년600원+어린이400원,Y,다목적구장+물레방아+관리사무소+수련원+잔디광장+잔디광장(소)+체력단련장+계곡데크,전라남도 화순군 백아면 수양로 353,전라남도 화순군청,061-379-3738,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030098,35.15137582,127.1671251,2023-07-25,4900000,전라남도 화순군
한천자연휴양림,전라남도,공유림,1480000,1000,어른1000원+청소년600원+어린이400원,Y,캠핑장+데크+잔디광장+정자+물썰매장,전라남도 화순군 한천면 죽헌로 719,전라남도 화순군청,061-379-3734,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030088,34.98834125,127.0454803,2023-07-25,4900000,전라남도 화순군
